X,Y,Z,Acceleration,Heading,Timestamp
1.674,0.99300003,9.88605,10.075827923779235,-136.34953643859046,245560016988391
1.60905,1.3429501,9.84105,10.061750490695529,,245560036047122
1.60905,1.3429501,9.84105,10.061750490695529,-136.34953643859046,245560036047122
1.60905,1.3429501,9.84105,10.061750490695529,-136.13728147994314,245560036047122
1.3480501,1.5340501,9.26805,9.490379280574626,,245560055105886
1.3480501,1.5340501,9.26805,9.490379280574626,-136.13728147994314,245560055105886
1.3480501,1.5340501,9.26805,9.490379280574626,-135.7674813779003,245560055105886
0.82605004,1.8409501,8.397,8.636033229804587,,245560074164675
0.82605004,1.8409501,8.397,8.636033229804587,-135.7674813779003,245560074164675
0.82605004,1.8409501,8.397,8.636033229804587,-135.2968676837081,245560074164675
0.53895,1.8910501,7.5109506,7.764078703963394,,245560093223426
0.53895,1.8910501,7.5109506,7.764078703963394,-135.2968676837081,245560093223426
0.53895,1.8910501,7.5109506,7.764078703963394,-134.84125308493324,245560093223426
0.59205,1.917,7.34805,7.61703700772811,,245560112282172
0.59205,1.917,7.34805,7.61703700772811,-134.84125308493324,245560112282172
0.59205,1.917,7.34805,7.61703700772811,-134.40754973301577,245560112282172
0.573,2.11095,7.59,7.898894858018262,,245560131340936
0.573,2.11095,7.59,7.898894858018262,-134.40754973301577,245560131340936
0.573,2.11095,7.59,7.898894858018262,-133.8952172433731,245560131340936
0.42195,2.2090502,7.8460503,8.162012395855427,,245560150399714
0.42195,2.2090502,7.8460503,8.162012395855427,-133.8952172433731,245560150399714
0.42195,2.2090502,7.8460503,8.162012395855427,-133.23272987501687,245560150399714
0.02205,2.32005,7.90395,8.23744772632551,,245560169458282
0.02205,2.32005,7.90395,8.23744772632551,-133.23272987501687,245560169458282
0.02205,2.32005,7.90395,8.23744772632551,-132.35894377449716,245560169458282
-0.39105,2.53005,7.8559504,8.262568292609693,,245560188517030
-0.39105,2.53005,7.8559504,8.262568292609693,-132.35894377449716,245560188517030
-0.39105,2.53005,7.8559504,8.262568292609693,-131.30936226511963,245560188517030
-0.84900004,2.67405,7.76205,8.25353049827982,,245560207576002
-0.84900004,2.67405,7.76205,8.25353049827982,-131.30936226511963,245560207576002
-0.84900004,2.67405,7.76205,8.25353049827982,-130.13044429361875,245560207576002
-1.7490001,2.88,7.8289504,8.523254448509851,,245560226634551
-1.7490001,2.88,7.8289504,8.523254448509851,-130.13044429361875,245560226634551
-1.7490001,2.88,7.8289504,8.523254448509851,-128.82982601148657,245560226634551
-2.6230502,2.77905,8.292001,9.13021325421169,,245560245693333
-2.6230502,2.77905,8.292001,9.13021325421169,-128.82982601148657,245560245693333
-2.6230502,2.77905,8.292001,9.13021325421169,-127.51635331333645,245560245693333
-3.0660002,2.5729501,9.172951,10.008169651731132,,245560264752156
-3.0660002,2.5729501,9.172951,10.008169651731132,-127.51635331333645,245560264752156
-3.0660002,2.5729501,9.172951,10.008169651731132,-126.34843194639929,245560264752156
-2.8210502,2.33205,10.22595,10.861254193294952,,245560283810896
-2.8210502,2.33205,10.22595,10.861254193294952,-126.34843194639929,245560283810896
